Index,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
1,USA,"34,482,672",,"619,152 ",,"28,897,460",,"4,966,060","3,855","103,580","1,860","503,006,392","1,510,948","332,907,877 "
2,India,"30,183,143",+674,"394,524 ",,"29,193,085","+7,526","595,534","8,944","21,663",283,"401,811,892","288,387","1,393,309,015 "
3,Brazil,"18,322,760",,"511,272 ",,"16,548,159",,"1,263,329","8,318","85,604","2,389","53,196,856","248,535","214,042,098 "
4,France,"5,766,315",,"110,939 ",,"5,596,744",,"58,632","1,389","88,149","1,696","92,004,378","1,406,463","65,415,404 "
5,Russia,"5,430,753","+21,665","132,683 ",+619,"4,943,986","+14,347","354,084","2,300","37,198",909,"147,900,000","1,013,042","145,995,960 "
6,Turkey,"5,398,878",,"49,473 ",,"5,261,892",,"87,513",737,"63,346",580,"59,667,586","700,087","85,228,791 "
7,UK,"4,699,868",,"128,066 ",,"4,312,164",,"259,638",259,"68,877","1,877","207,164,164","3,035,991","68,236,097 "
8,Argentina,"4,374,587",,"91,979 ",,"3,990,289",,"292,319","7,057","95,929","2,017","16,275,456","356,898","45,602,529 "
9,Italy,"4,256,451",,"127,418 ",,"4,068,798",,"60,235",306,"70,501","2,110","70,769,618","1,172,179","60,374,416 "
10,Colombia,"4,092,746",,"103,321 ",,"3,800,388",,"189,037","8,155","79,603","2,010","19,409,243","377,504","51,414,606 "
11,Spain,"3,782,463",,"80,779 ",,"3,575,883",,"125,801",641,"80,869","1,727","51,240,666","1,095,528","46,772,576 "
12,Germany,"3,733,665",,"91,281 ",,"3,618,400","+1,600","23,984",889,"44,423","1,086","63,091,197","750,665","84,047,070 "
13,Iran,"3,157,983","+7,034","83,711 ",+123,"2,822,704","+13,109","251,568","3,195","37,132",984,"22,945,493","269,800","85,046,359 "
14,Poland,"2,879,569",+100,"74,974 ",+21,"2,651,360",+151,"153,235",171,"76,167","1,983","17,249,401","456,263","37,805,861 "
15,Mexico,"2,498,357","+5,270","232,346 ",+278,"1,985,459","+2,785","280,552","4,798","19,180","1,784","7,425,434","57,004","130,260,883 "
16,Ukraine,"2,233,546",+756,"52,269 ",+35,"2,161,972","+1,835","19,305",177,"51,375","1,202","10,780,868","247,977","43,475,205 "
17,Indonesia,"2,093,962","+21,095","56,729 ",+358,"1,842,457","+7,396","194,776",,"7,577",205,"19,440,301","70,344","276,359,341 "
18,Peru,"2,043,262",,"191,447 ",,N/A,N/A,N/A,"2,464","61,136","5,728","13,992,580","418,667","33,421,765 "
19,South Africa,"1,895,905",,"59,621 ",,"1,690,380",,"145,904",546,"31,577",993,"12,842,761","213,898","60,041,429 "
20,Netherlands,"1,682,773",+552,"17,740 ",,"1,619,726","+3,323","45,307",157,"97,994","1,033","14,596,733","850,025","17,172,118 "
21,Czechia,"1,666,821",+138,"30,296 ",,"1,634,734",+12,"1,791",13,"155,364","2,824","28,784,959","2,683,037","10,728,500 "
22,Chile,"1,537,471",,"32,012 ",,"1,472,337",,"33,122","3,105","79,756","1,661","16,694,647","866,032","19,277,163 "
23,Canada,"1,412,226",,"26,197 ",,"1,376,904",,"9,125",512,"37,099",688,"36,484,663","958,439","38,066,743 "
24,Philippines,"1,391,911","+6,871","24,244 ",+92,"1,314,220","+8,720","53,447","1,957","12,539",218,"14,690,368","132,334","111,009,994 "
25,Iraq,"1,316,418",,"17,033 ",,"1,222,494",,"76,891",547,"32,026",414,"11,506,033","279,921","41,104,502 "
26,Sweden,"1,088,896",,"14,584 ",,"1,053,886","+1,419","20,426",64,"107,163","1,435","10,574,760","1,040,713","10,161,073 "
27,Belgium,"1,082,476",+568,"25,160 ",+8,"1,024,673",,"32,643",175,"93,003","2,162","15,022,137","1,290,656","11,639,150 "
28,Romania,"1,080,584",+62,"33,177 ",+6,"1,045,351",,"2,056",97,"56,541","1,736","9,721,376","508,669","19,111,387 "
29,Pakistan,"953,842",+935,"22,188 ",+36,"898,944","+1,110","32,710","1,995","4,238",99,"14,371,850","63,850","225,087,321 "
30,Bangladesh,"883,138","+4,334","14,053 ",+77,"800,854","+3,295","68,231","1,165","5,311",85,"6,482,381","38,980","166,298,282 "
31,Portugal,"873,051","+1,568","17,083 ",+2,"825,209","+1,249","30,759",113,"85,867","1,680","12,926,064","1,271,316","10,167,470 "
32,Israel,"840,638",,"6,429 ",,"833,221",,988,27,"90,139",689,"14,891,479","1,596,770","9,326,000 "
33,Hungary,"807,910",,"29,980 ",,"737,233",,"40,697",22,"83,841","3,111","6,094,415","632,448","9,636,229 "
34,Japan,"792,832","+1,708","14,626 ",+28,"760,243","+2,070","17,963",577,"6,288",116,"16,174,842","128,274","126,095,673 "
35,Jordan,"749,046",,"9,710 ",,"732,811",,"6,525",470,"72,706",942,"7,776,772","754,846","10,302,459 "
36,Malaysia,"728,462","+5,803","4,884 ",+81,"662,932","+5,193","60,646",866,"22,228",149,"14,277,789","435,666","32,772,328 "
37,Serbia,"716,238",+66,"7,029  ",+5,"706,816",+157,"2,393",11,"82,300",808,"4,384,783","503,839","8,702,751 "
38,Switzerland,"702,507",,"10,882 ",,"680,251",,"11,374",60,"80,593","1,248","8,221,551","943,193","8,716,726 "
39,Austria,"650,192",+176,"10,699 ",,"637,238",+187,"2,255",72,"71,790","1,181","53,713,546","5,930,715","9,056,842 "
40,Nepal,"632,326","+1,174","8,975 ",+30,"581,327","+4,914","42,024",,"21,327",303,"3,317,039","111,875","29,649,567 "
41,UAE,"624,814","+2,282","1,792 ",+10,"603,541","+2,233","19,481",,"62,434",179,"56,653,430","5,661,089","10,007,514 "
42,Lebanon,"544,165",,"7,839 ",,"531,432",,"4,894",54,"80,079","1,154","4,731,376","696,264","6,795,376 "
43,Morocco,"528,731",,"9,268 ",,"515,537",,"3,926",108,"14,160",248,"6,771,991","181,363","37,339,348 "
44,Saudi Arabia,"482,003","+1,301","7,760 ",+17,"463,004","+1,376","11,239","1,450","13,637",220,"21,506,148","608,468","35,344,720 "
45,Ecuador,"452,234",,"21,433 ",,"415,508",,"15,293",424,"25,257","1,197","1,521,099","84,952","17,905,393 "
46,Bolivia,"431,360","+2,182","16,496 ",+82,"351,317","+2,402","63,547",200,"36,466","1,395","1,774,683","150,028","11,829,006 "
47,Bulgaria,"421,487",,"18,026 ",,"394,091",,"9,370",196,"61,112","2,614","3,132,792","454,228","6,896,957 "
48,Greece,"420,295",,"12,625 ",,"402,329",,"5,341",239,"40,518","1,217","10,468,182","1,009,179","10,372,964 "
49,Kazakhstan,"416,442","+1,730","4,281 ",,"390,571","+1,165","21,590",221,"21,922",225,"11,575,012","609,313","18,996,827 "
50,Paraguay,"415,320",,"12,211 ",,"357,368",,"45,741",554,"57,536","1,692","1,499,522","207,736","7,218,398 "
51,Belarus,"414,730",+778,"3,103 ",+10,"407,528",+842,"4,099",,"43,904",328,"6,736,776","713,168","9,446,268 "
52,Tunisia,"398,829",,"14,489 ",,"344,386",,"39,954",526,"33,403","1,213","1,658,544","138,908","11,939,868 "
53,Panama,"398,820",,"6,505 ",,"380,662",,"11,653",84,"91,028","1,485","2,938,877","670,782","4,381,267 "
54,Slovakia,"391,531",+41,"12,505 ",,"378,479",+88,547,30,"71,680","2,289","2,944,540","539,072","5,462,241 "
55,Uruguay,"363,580",,"5,447 ",,"337,748",,"20,385",344,"104,311","1,563","2,742,723","786,883","3,485,553 "
56,Georgia,"362,937",+754,"5,255 ",+18,"348,705",+438,"8,977",,"91,153","1,320","5,722,064","1,437,113","3,981,638 "
57,Costa Rica,"361,005",,"4,602 ",,"287,248",,"69,155",440,"70,238",895,"1,411,469","274,619","5,139,741 "
58,Croatia,"359,607",+86,"8,197 ",+1,"350,850",+77,560,13,"88,131","2,009","2,132,353","522,590","4,080,353 "
59,Kuwait,"348,262",,"1,913 ",,"327,734",,"18,615",271,"80,385",442,"2,907,511","671,105","4,332,422 "
60,Azerbaijan,"335,796",+55,"4,967 ",,"330,026",+67,803,,"32,828",486,"3,722,499","363,923","10,228,813 "
61,Dominican Republic,"321,073",,"3,789 ",,"261,929",,"55,355",433,"29,309",346,"1,685,706","153,881","10,954,579 "
62,Palestine,"313,520",,"3,556 ",,"307,236",,"2,728",6,"60,093",682,"1,889,327","362,129","5,217,271 "
63,Denmark,"292,769",+195,"2,531 ",,"287,101",+314,"3,137",17,"50,371",435,"67,541,103","11,620,507","5,812,234 "
64,Guatemala,"288,987",,"8,960 ",,"259,850",,"20,177",5,"15,844",491,"1,565,972","85,855","18,239,785 "
65,Egypt,"279,596",,"16,031 ",,"208,957",,"54,608",90,"2,683",154,"2,869,589","27,533","104,222,456 "
66,Lithuania,"278,655",+44,"4,379 ",,"267,335",+196,"6,941",50,"103,788","1,631","3,729,362","1,389,037","2,684,855 "
67,Ethiopia,"275,769",,"4,302 ",,"258,203",,"13,264",167,"2,342",37,"2,845,263","24,165","117,744,423 "
68,Ireland,"270,477",,"4,989 ",,"254,874",,"10,614",13,"54,184",999,"4,729,538","947,451","4,991,855 "
69,Venezuela,"266,952",,"3,038 ",,"248,066",,"15,848",331,"9,414",107,"3,359,014","118,456","28,356,704 "
70,Bahrain,"264,693",,"1,335 ",,"258,545",,"4,813",114,"150,465",759,"4,977,204","2,829,301","1,759,164 "
71,Honduras,"258,349","+1,531","6,902 ",+23,"92,253",+66,"159,194",563,"25,684",686,"785,273","78,068","10,058,831 "
